title,original_language,genre_list,director_name,release_year,release_date,status,runtime_minutes,is_adult,budget_tier,runtime_bucket,language_group,language_name
From Darkness,sv,"Horror,Thriller,Mystery",Philip W. da Silva,2024,2024-03-22,Released,95,false,1. Micro (<$1M),2. 90-120 min,Non-English,Other
A Woman Called Mother,id,"Drama,Horror",Randolph Zaini,2025,2025-09-25,Released,119,false,1. Micro (<$1M),2. 90-120 min,Non-English,Other
Neglected,en,Drama,Leonardo Fuica,2025,2025-09-26,Released,93,false,1. Micro (<$1M),2. 90-120 min,English,English
Slovenian Girl,sl,Drama,Damjan Kozole,2009,2009-09-30,Released,90,false,1. Micro (<$1M),2. 90-120 min,Non-English,Other
Esterina,it,Drama,Carlo Lizzani,1959,1959-09-09,Released,87,false,1. Micro (<$1M),1. Under 90 min,Non-English,Italian
Blood,en,"Horror,Thriller,Mystery",Brad Anderson,2023,2023-01-12,Released,108,false,1. Micro (<$1M),2. 90-120 min,English,English
Screamboat,en,"Horror,Comedy",Steven LaMorte,2025,2025-03-20,Released,102,false,2. Low ($1-15M),2. 90-120 min,English,English
Knowing,en,"Action,Thriller,Science Fiction,Mystery",Alex Proyas,2009,2009-03-19,Released,121,false,3. Mid ($15-75M),3. 120-150 min,English,English
Dragon Ball Z: The Return of Cooler,ja,"Animation,Action,Science Fiction",Daisuke Nishio,1992,1992-03-07,Released,46,false,1. Micro (<$1M),1. Under 90 min,Non-English,Japanese
Jilted,en,Drama,Bill Bennett,1987,1987-06-01,Released,89,false,1. Micro (<$1M),1. Under 90 min,English,English
Geethanjali,en,"",Rangarajan K,1985,1985-07-10,Released,0,false,1. Micro (<$1M),1. Under 90 min,English,English
Mad Mex: The Blackfighter,es,Crime,Max H. Boulois,1980,1980-01-01,Released,99,false,1. Micro (<$1M),2. 90-120 min,Non-English,Spanish
Fawn,en,"Drama,Horror",Michael McKiddy,2019,2019-10-03,Released,75,false,1. Micro (<$1M),1. Under 90 min,English,English
Paula,tl,Drama,Mar S. Torres,1969,1969-01-02,Released,0,false,1. Micro (<$1M),1. Under 90 min,Non-English,Tagalog
Asterix & Obelix: Mission Cleopatra,fr,"Adventure,Fantasy,Comedy,Family",Alain Chabat,2002,2002-01-30,Released,108,false,3. Mid ($15-75M),2. 90-120 min,Non-English,French
Day of the Woman,en,"Horror,Thriller",Meir Zarchi,1978,1978-11-02,Released,101,false,1. Micro (<$1M),2. 90-120 min,English,English
Sahara,en,"Adventure,Action,War,TV Movie",Brian Trenchard-Smith,1995,1995-04-25,Released,106,false,1. Micro (<$1M),2. 90-120 min,English,English
Don Jon,en,"Drama,Comedy,Romance",Joseph Gordon-Levitt,2013,2013-09-12,Released,90,false,2. Low ($1-15M),2. 90-120 min,English,English
Land Ho!,en,"Adventure,Comedy",Martha Stephens,2014,2014-07-11,Released,96,false,1. Micro (<$1M),2. 90-120 min,English,English
Ride Along 2,en,"Action,Comedy",Tim Story,2016,2016-01-14,Released,102,false,3. Mid ($15-75M),2. 90-120 min,English,English
Ausmerzen,it,"History,Documentary","",2011,2011-01-26,Released,0,false,1. Micro (<$1M),1. Under 90 min,Non-English,Italian
Lady Rider,en,Action,Alex Maisonette,2017,2017-07-01,Released,105,false,1. Micro (<$1M),2. 90-120 min,English,English
Follow Me,en,"Horror,Thriller",Will Wernick,2020,2020-07-03,Released,88,false,1. Micro (<$1M),1. Under 90 min,English,English
The Matrix Resurrections,en,"Adventure,Action,Science Fiction",Lana Wachowski,2021,2021-12-16,Released,148,false,5. Blockbuster ($150M+),3. 120-150 min,English,English
Herself,en,Drama,Phyllida Lloyd,2020,2020-11-26,Released,97,false,1. Micro (<$1M),2. 90-120 min,English,English
"Silent Night, Deadly Night",en,"Horror,Thriller",Mike P. Nelson,2025,2025-12-11,Released,96,false,1. Micro (<$1M),2. 90-120 min,English,English
Hercules,en,"Adventure,Fantasy,Animation,Comedy,Romance,Family",John Musker,1997,1997-06-13,Released,93,false,4. High ($75-150M),2. 90-120 min,English,English
Venetian Bird,en,"Thriller,Mystery",Ralph Thomas,1952,1952-10-01,Released,94,false,1. Micro (<$1M),2. 90-120 min,English,English
Mona,en,"Comedy,Romance",Alan Kirschen,2008,2008-10-10,Released,87,false,1. Micro (<$1M),1. Under 90 min,English,English
Mea Culpa,fr,"Action,Thriller",Fred Cavayé,2014,2014-02-05,Released,90,false,1. Micro (<$1M),2. 90-120 min,Non-English,French
Thyagam,en,Drama,Vijayan K,1978,1978-03-03,Released,0,false,1. Micro (<$1M),1. Under 90 min,English,English
United Passions,en,Drama,Frédéric Auburtin,2014,2014-06-19,Released,110,false,3. Mid ($15-75M),2. 90-120 min,English,English
47 Meters Down,en,"Horror,Thriller",Johannes Roberts,2017,2017-05-25,Released,89,false,2. Low ($1-15M),1. Under 90 min,English,English
Kinmoza the Movie: Thank You!!,ja,"Animation,Comedy",Munenori Nawa,2021,2021-08-20,Released,82,false,1. Micro (<$1M),1. Under 90 min,Non-English,Japanese
Simokita 2014,ja,Horror,Koji Shiraishi,2017,2017-01-01,Released,2,false,1. Micro (<$1M),1. Under 90 min,Non-English,Japanese
Dust Bunny,en,"Fantasy,Action,Thriller",Bryan Fuller,2025,2025-12-11,Released,106,false,1. Micro (<$1M),2. 90-120 min,English,English
Oddity,en,"Horror,Mystery",Damian McCarthy,2024,2024-07-19,Released,98,false,1. Micro (<$1M),2. 90-120 min,English,English
Lost Highway,en,"Drama,Thriller,Mystery",David Lynch,1997,1997-01-15,Released,134,false,3. Mid ($15-75M),3. 120-150 min,English,English
Pinocchio,en,"Fantasy,Animation,Family",Bill Roberts,1940,1940-02-23,Released,88,false,2. Low ($1-15M),1. Under 90 min,English,English
InSight,en,"Thriller,Mystery",Richard Gabai,2011,2011-09-02,Released,92,false,1. Micro (<$1M),2. 90-120 min,English,English
The 33D Invader,cn,"Comedy,Science Fiction",Cash Chin Man-Kei,2011,2011-10-06,Released,82,false,1. Micro (<$1M),1. Under 90 min,Non-English,Other
Redbad,nl,"Adventure,Drama,History,War",Roel Reiné,2018,2018-06-28,Released,160,false,2. Low ($1-15M),4. 150-180 min,Non-English,Other
Music,en,"Drama,Music",Sia,2021,2021-01-14,Released,107,false,3. Mid ($15-75M),2. 90-120 min,English,English
Palna's Daughters,fi,Documentary,Kiti Luostarinen,2007,2007-12-31,Released,69,false,1. Micro (<$1M),1. Under 90 min,Non-English,Other
Diamonds,it,"Drama,Comedy",Ferzan Özpetek,2024,2024-12-19,Released,135,false,1. Micro (<$1M),3. 120-150 min,Non-English,Italian
Daddy's Home,en,Comedy,Sean Anders,2015,2015-12-25,Released,96,false,3. Mid ($15-75M),2. 90-120 min,English,English
Maniacal,en,"",Sam Mason Bell,2018,2018-05-08,Released,0,false,1. Micro (<$1M),1. Under 90 min,English,English
Incanto,it,"Fantasy,Family",Pier Paolo Paganelli,2025,2025-07-03,Released,92,false,1. Micro (<$1M),2. 90-120 min,Non-English,Italian
Sin cobertura,es,"Adventure,Fantasy,Comedy,Family",Mar Olid,2025,2025-08-22,Released,94,false,1. Micro (<$1M),2. 90-120 min,Non-English,Spanish
Sweet Home Alabama,en,"Comedy,Romance",Andy Tennant,2002,2002-09-26,Released,108,false,3. Mid ($15-75M),2. 90-120 min,English,English
Captain Alatriste: The Spanish Musketeer,es,Action,Agustín Díaz Yanes,2006,2006-09-01,Released,145,false,3. Mid ($15-75M),3. 120-150 min,Non-English,Spanish
Hotel Transylvania,en,"Fantasy,Animation,Comedy,Family",Genndy Tartakovsky,2012,2012-09-20,Released,91,false,4. High ($75-150M),2. 90-120 min,English,English
Elephant,en,"Adventure,Documentary,Family",Mark Linfield,2020,2020-03-14,Released,86,false,1. Micro (<$1M),1. Under 90 min,English,English
The Apartment,en,"Drama,Comedy,Romance",Billy Wilder,1960,1960-06-21,Released,125,false,2. Low ($1-15M),3. 120-150 min,English,English
Training Day,en,"Drama,Action,Crime",Antoine Fuqua,2001,2001-10-05,Released,122,false,3. Mid ($15-75M),3. 120-150 min,English,English
Couples Retreat,en,"Comedy,Romance",Peter Billingsley,2009,2009-09-19,Released,113,false,3. Mid ($15-75M),2. 90-120 min,English,English
Maniac,en,Horror,Dwain Esper,1934,1934-09-11,Released,51,false,1. Micro (<$1M),1. Under 90 min,English,English
Emmanuelle,fr,"Drama,Romance",Just Jaeckin,1974,1974-06-25,Released,95,false,1. Micro (<$1M),2. 90-120 min,Non-English,French
Zombiegeddon,en,Horror,Chris Watson,2003,2003-07-12,Released,81,false,1. Micro (<$1M),1. Under 90 min,English,English
The Aviator,en,"Adventure,Drama,Romance",George T. Miller,1985,1985-03-01,Released,96,false,1. Micro (<$1M),2. 90-120 min,English,English
One-Week Bachelors,sv,Comedy,Hans Iveberg,1982,1982-12-16,Released,99,false,1. Micro (<$1M),2. 90-120 min,Non-English,Other
California Indian,en,Drama,Timothy Andrew Ramos,2011,2011-11-20,Released,90,false,1. Micro (<$1M),2. 90-120 min,English,English
Never Back Down: No Surrender,en,"Drama,Action",Michael Jai White,2016,2016-06-07,Released,101,false,1. Micro (<$1M),2. 90-120 min,English,English
Adult,el,Drama,Jamieson Pearce,2017,2017-03-11,Released,12,false,1. Micro (<$1M),1. Under 90 min,Non-English,Other
Swan Song,en,"Drama,Science Fiction",Benjamin Cleary,2021,2021-12-17,Released,112,false,1. Micro (<$1M),2. 90-120 min,English,English
Rockormen,sv,"Comedy,Crime,Music",Håkan Wennberg,1979,1979-12-30,Released,148,false,1. Micro (<$1M),3. 120-150 min,Non-English,Other
M3GAN 2.0,en,"Action,Thriller,Science Fiction",Gerard Johnstone,2025,2025-06-25,Released,120,false,3. Mid ($15-75M),3. 120-150 min,English,English
The King's Warden,ko,"Drama,History",Chang Hang-jun,2026,2026-02-04,Released,117,false,1. Micro (<$1M),2. 90-120 min,Non-English,Korean
BISHU,ja,Drama,Tatsuro Nishikawa,2024,2024-10-11,Released,124,false,1. Micro (<$1M),3. 120-150 min,Non-English,Japanese
Cool Runnings,en,"Adventure,Drama,Comedy",Jon Turteltaub,1993,1993-10-01,Released,98,false,2. Low ($1-15M),2. 90-120 min,English,English
Iron Man,en,"Adventure,Action,Science Fiction",Jon Favreau,2008,2008-04-30,Released,126,false,4. High ($75-150M),3. 120-150 min,English,English
Four Brothers,en,"Action,Crime",John Singleton,2005,2005-08-11,Released,109,false,3. Mid ($15-75M),2. 90-120 min,English,English
Tetro,en,Drama,Francis Ford Coppola,2009,2009-06-11,Released,127,false,3. Mid ($15-75M),3. 120-150 min,English,English
Stiletto,en,"Action,Thriller,Crime",Nick Vallelonga,2008,2008-04-29,Released,118,false,2. Low ($1-15M),2. 90-120 min,English,English
Armitage: Dual Matrix,ja,"Adventure,Animation,Action,Thriller,Science Fiction",Katsuhito Akiyama,2002,2002-03-22,Released,90,false,1. Micro (<$1M),2. 90-120 min,Non-English,Japanese
Beethoven,en,"Comedy,Family",Brian Levant,1992,1992-04-03,Released,87,false,1. Micro (<$1M),1. Under 90 min,English,English
Fly Me,en,"Drama,Action",Cirio H. Santiago,1973,1973-03-16,Released,72,false,1. Micro (<$1M),1. Under 90 min,English,English
A Haunted House 2,en,"Horror,Comedy",Michael Tiddes,2014,2014-04-17,Released,87,false,2. Low ($1-15M),1. Under 90 min,English,English
Doctor Bloodbath,en,Horror,Nick Millard,1987,1987-01-01,Released,60,false,1. Micro (<$1M),1. Under 90 min,English,English
Bastards and Bridesmaids,nl,"Comedy,Romance",Eddy Terstall,1997,1997-04-03,Released,91,false,1. Micro (<$1M),2. 90-120 min,Non-English,Other
The Hate U Give,en,"Drama,Crime",George Tillman Jr.,2018,2018-10-19,Released,133,false,3. Mid ($15-75M),3. 120-150 min,English,English
IF,en,"Fantasy,Comedy,Family",John Krasinski,2024,2024-05-08,Released,104,false,4. High ($75-150M),2. 90-120 min,English,English
El molino,es,Drama,Alfonso Cortés-Cavanillas,2024,2024-03-06,Released,107,false,1. Micro (<$1M),2. 90-120 min,Non-English,Spanish
Sunshine,tl,Drama,Antoinette Jadaone,2025,2025-07-23,Released,92,false,1. Micro (<$1M),2. 90-120 min,Non-English,Tagalog
Men·Frag·Tos,es,"Drama,Thriller,Crime",Miguel Gastelum,2025,2025-08-13,Released,74,false,1. Micro (<$1M),1. Under 90 min,Non-English,Spanish
Dirty Dancing,en,"Drama,Music,Romance",Emile Ardolino,1987,1987-08-21,Released,100,false,2. Low ($1-15M),2. 90-120 min,English,English
Godzilla vs. Mothra,ja,"Adventure,Fantasy,Action,Science Fiction",Takao Okawara,1992,1992-12-12,Released,102,false,1. Micro (<$1M),2. 90-120 min,Non-English,Japanese
Sexual Predator,en,"Drama,Thriller",Rob Spera,2001,2001-12-04,Released,85,false,2. Low ($1-15M),1. Under 90 min,English,English
Chronicle,en,"Drama,Thriller,Science Fiction",Josh Trank,2012,2012-02-01,Released,84,false,3. Mid ($15-75M),1. Under 90 min,English,English
Wonderful World,ja,"Fantasy,Drama",Daisuke Namikawa,2010,2010-06-19,Released,0,false,1. Micro (<$1M),1. Under 90 min,Non-English,Japanese
§ 14 BGB,de,Drama,Paul von Woringen,2015,2015-03-01,Released,76,false,1. Micro (<$1M),1. Under 90 min,Non-English,German
A Quiet Love,ga,Documentary,Garry Keane,2025,2025-11-21,Released,96,false,1. Micro (<$1M),2. 90-120 min,Non-English,Other
Oldboy,ko,"Drama,Action,Thriller,Mystery",Park Chan-wook,2003,2003-11-21,Released,120,false,2. Low ($1-15M),3. 120-150 min,Non-English,Korean
Ponyo,ja,"Fantasy,Animation,Family",Hayao Miyazaki,2008,2008-07-19,Released,100,false,3. Mid ($15-75M),2. 90-120 min,Non-English,Japanese
Home on the Range,en,"Animation,Family",Will Finn,2004,2004-04-02,Released,76,false,4. High ($75-150M),1. Under 90 min,English,English
Off Beat,en,Comedy,Michael Dinner,1986,1986-04-10,Released,92,false,2. Low ($1-15M),2. 90-120 min,English,English
King of Thorn,ja,"Fantasy,Animation,Science Fiction",Kazuyoshi Katayama,2010,2010-05-01,Released,109,false,1. Micro (<$1M),2. 90-120 min,Non-English,Japanese
Mortdecai,en,"Adventure,Comedy",David Koepp,2015,2015-01-21,Released,107,false,3. Mid ($15-75M),2. 90-120 min,English,English
Bekas,ku,Drama,Karzan Kader,2012,2012-11-30,Released,97,false,2. Low ($1-15M),2. 90-120 min,Non-English,Other
Satan & Adam,en,Documentary,V. Scott Balcerek,2018,2018-04-20,Released,78,false,1. Micro (<$1M),1. Under 90 min,English,English
Insidious: The Red Door,en,"Horror,Thriller",Patrick Wilson,2023,2023-07-05,Released,107,false,3. Mid ($15-75M),2. 90-120 min,English,English
No Other Choice,ko,"Comedy,Thriller,Crime",Park Chan-wook,2025,2025-09-24,Released,139,false,2. Low ($1-15M),3. 120-150 min,Non-English,Korean
Les chevaliers du fiel dynamitent 2019,fr,"","",2020,2020-03-01,Released,0,false,1. Micro (<$1M),1. Under 90 min,Non-English,French
After Everything,en,"Drama,Romance",Castille Landon,2023,2023-09-13,Released,93,false,2. Low ($1-15M),2. 90-120 min,English,English
Boundless,da,"Thriller,Crime",Ole Christian Madsen,2024,2024-02-01,Released,126,false,2. Low ($1-15M),3. 120-150 min,Non-English,Other
Mongrels,ko,Drama,Jerome Yoo,2024,2024-09-28,Released,106,false,1. Micro (<$1M),2. 90-120 min,Non-English,Korean
A Bridge Too Far,en,"Drama,History,War",Richard Attenborough,1977,1977-06-15,Released,175,false,3. Mid ($15-75M),4. 150-180 min,English,English
Alvin and the Chipmunks: The Squeakquel,en,"Fantasy,Animation,Comedy,Music,Family",Betty Thomas,2009,2009-12-21,Released,89,false,4. High ($75-150M),1. Under 90 min,English,English
Damage,en,"Drama,Action,Thriller",Jeff F. King,2009,2009-10-05,Released,102,false,2. Low ($1-15M),2. 90-120 min,English,English
S Diary,ko,Comedy,Kwon Jong-kwan,2004,2004-10-22,Released,106,false,1. Micro (<$1M),2. 90-120 min,Non-English,Korean
I Am,en,Documentary,Tom Shadyac,2011,2011-02-11,Released,76,false,1. Micro (<$1M),1. Under 90 min,English,English
Just Write,en,"Comedy,Romance",Andrew Gallerani,1997,1997-03-01,Released,102,false,1. Micro (<$1M),2. 90-120 min,English,English
Johnen: Love of Sada,ja,Drama,Rokurō Mochizuki,2008,2008-05-31,Released,109,false,1. Micro (<$1M),2. 90-120 min,Non-English,Japanese
Mulan,en,"Adventure,Fantasy,Action",Niki Caro,2020,2020-09-04,Released,115,false,5. Blockbuster ($150M+),2. 90-120 min,English,English
Terrified,es,Horror,Demián Rugna,2018,2018-05-03,Released,88,false,1. Micro (<$1M),1. Under 90 min,Non-English,Spanish
Talk to Me,en,Horror,Danny Philippou,2023,2023-07-26,Released,95,false,2. Low ($1-15M),2. 90-120 min,English,English
Nutcracker,en,Drama,Anwar Kawadri,1982,1982-12-17,Released,101,false,1. Micro (<$1M),2. 90-120 min,English,English
Navrang,hi,"Drama,Music,Romance",Shantaram Rajaram Vankudre,1959,1959-01-02,Released,158,false,1. Micro (<$1M),4. 150-180 min,Non-English,Hindi
Hacksaw Ridge,en,"Drama,History,War",Mel Gibson,2016,2016-10-07,Released,139,false,3. Mid ($15-75M),3. 120-150 min,English,English
Rejuvenation,en,"Drama,Romance",George Nichols,2012,2012-04-22,Released,10,false,1. Micro (<$1M),1. Under 90 min,English,English
Cave,no,"Adventure,Thriller",Henrik Martin Dahlsbakken,2016,2016-09-02,Released,85,false,1. Micro (<$1M),1. Under 90 min,Non-English,Other
Min älskade,sv,Drama,Kjell Grede,1979,1979-03-12,Released,108,false,1. Micro (<$1M),2. 90-120 min,Non-English,Other
Tall Girl,en,"Drama,Comedy,Romance",Nzingha Stewart,2019,2019-09-13,Released,101,false,1. Micro (<$1M),2. 90-120 min,English,English
Rain,es,Drama,Rodrigo García Sáiz,2025,2025-01-30,Released,95,false,1. Micro (<$1M),2. 90-120 min,Non-English,Spanish
Oma,lv,Comedy,Monika Ivonne,2019,2019-06-14,Released,12,false,1. Micro (<$1M),1. Under 90 min,Non-English,Other
Three Colors: Blue,fr,Drama,Krzysztof Kieślowski,1993,1993-09-08,Released,98,false,1. Micro (<$1M),2. 90-120 min,Non-English,French
Primal Fear,en,"Drama,Thriller,Crime,Mystery",Gregory Hoblit,1996,1996-03-06,Released,130,false,3. Mid ($15-75M),3. 120-150 min,English,English
Ski Patrol,en,"Action,Comedy",Rich Correll,1990,1990-01-12,Released,91,false,1. Micro (<$1M),2. 90-120 min,English,English
Faster,en,"Drama,Action,Thriller,Crime",George Tillman Jr.,2010,2010-11-23,Released,98,false,3. Mid ($15-75M),2. 90-120 min,English,English
Duck,en,Drama,Nicole Bettauer,2005,2005-03-11,Released,96,false,1. Micro (<$1M),2. 90-120 min,English,English
Valerie,en,"Drama,Western,Crime",Gerd Oswald,1957,1957-08-01,Released,82,false,1. Micro (<$1M),1. Under 90 min,English,English
Milena,en,Drama,Véra Belmont,1991,1991-07-04,Released,139,false,1. Micro (<$1M),3. 120-150 min,English,English
Alone,en,"Horror,Thriller",John Hyams,2020,2020-09-10,Released,98,false,1. Micro (<$1M),2. 90-120 min,English,English
Nina,it,Drama,Marco Bellocchio,2000,2000-08-01,Released,13,false,1. Micro (<$1M),1. Under 90 min,Non-English,Italian
Agak Laen: Menyala Pantiku!,id,"Drama,Comedy,Crime,Mystery",Muhadkly Acho,2025,2025-11-27,Released,119,false,1. Micro (<$1M),2. 90-120 min,Non-English,Other
Chasing the Wind,tr,Romance,Engin Erden,2025,2025-01-09,Released,96,false,1. Micro (<$1M),2. 90-120 min,Non-English,Other
The Killing of a Sacred Deer,en,"Drama,Thriller,Mystery",Yorgos Lanthimos,2017,2017-10-20,Released,121,false,2. Low ($1-15M),3. 120-150 min,English,English
Missing,en,"Drama,Thriller,Mystery",Will Merrick,2023,2023-01-19,Released,111,false,2. Low ($1-15M),2. 90-120 min,English,English
The Legend of Hei 2,zh,"Fantasy,Animation,Action",Gu Jie,2025,2025-07-18,Released,119,false,1. Micro (<$1M),2. 90-120 min,Non-English,Other
Vermiglio,it,Drama,Maura Delpero,2024,2024-09-19,Released,119,false,1. Micro (<$1M),2. 90-120 min,Non-English,Italian
Diary of an Alcoholic,cs,Drama,Dan Svátek,2024,2024-07-11,Released,92,false,1. Micro (<$1M),2. 90-120 min,Non-English,Other
The Citadel,en,"Drama,Romance",King Vidor,1938,1938-10-29,Released,110,false,1. Micro (<$1M),2. 90-120 min,English,English
Shogun's Joy of Torture,ja,"Drama,Horror",Teruo Ishii,1968,1968-09-28,Released,96,false,1. Micro (<$1M),2. 90-120 min,Non-English,Japanese
Masoom,hi,"","",1996,1996-08-13,Released,0,false,1. Micro (<$1M),1. Under 90 min,Non-English,Hindi
Tarzan,en,"Adventure,Animation,Action,Family",Reinhard Klooss,2013,2013-10-17,Released,94,false,1. Micro (<$1M),2. 90-120 min,English,English
Jack,de,Drama,Edward Berger,2014,2014-10-09,Released,99,false,1. Micro (<$1M),2. 90-120 min,Non-English,German
Insatiable Needs,en,Drama,Woquini Adams,2005,2005-01-01,Released,92,false,1. Micro (<$1M),2. 90-120 min,English,English
Flex,en,"",Chris Cunningham,2000,2000-09-15,Released,17,false,1. Micro (<$1M),1. Under 90 min,English,English
Onward,en,"Adventure,Fantasy,Animation,Comedy,Family",Dan Scanlon,2020,2020-02-29,Released,102,false,5. Blockbuster ($150M+),2. 90-120 min,English,English
Vánice,cs,Drama,Čeněk Duba,1962,1962-11-09,Released,0,false,1. Micro (<$1M),1. Under 90 min,Non-English,Other
22 Minutes,id,"Drama,Action,Thriller",Myrna Paramita Pohan,2018,2018-07-19,Released,71,false,1. Micro (<$1M),1. Under 90 min,Non-English,Other
Brothers,en,"Action,Comedy,Crime",Max Barbakow,2024,2024-10-10,Released,89,false,1. Micro (<$1M),1. Under 90 min,English,English
Mummies,es,"Adventure,Fantasy,Animation,Family",Juan Jesús García Galocha,2023,2023-01-05,Released,88,false,2. Low ($1-15M),1. Under 90 min,Non-English,Spanish
Waiting...,en,"Comedy,Romance",Rob McKittrick,2005,2005-10-07,Released,94,false,2. Low ($1-15M),2. 90-120 min,English,English
The Outlaw Josey Wales,en,Western,Clint Eastwood,1976,1976-06-30,Released,135,false,2. Low ($1-15M),3. 120-150 min,English,English
Robin Hood,en,"Adventure,Action,History",Ridley Scott,2010,2010-05-12,Released,140,false,5. Blockbuster ($150M+),3. 120-150 min,English,English
Night Angel,en,Horror,Dominique Othenin-Girard,1990,1990-06-02,Released,90,false,1. Micro (<$1M),2. 90-120 min,English,English
Cage,en,"Drama,Action,Thriller",Lang Elliott,1989,1989-09-01,Released,100,false,1. Micro (<$1M),2. 90-120 min,English,English
Sausage Party,en,"Adventure,Fantasy,Animation,Comedy",Greg Tiernan,2016,2016-07-11,Released,89,false,3. Mid ($15-75M),1. Under 90 min,English,English
Frontera,en,"Drama,Western",Michael Berry,2014,2014-07-31,Released,103,false,1. Micro (<$1M),2. 90-120 min,English,English
Badland,en,Western,Justin Lee,2019,2019-11-01,Released,117,false,1. Micro (<$1M),2. 90-120 min,English,English
Jurassic World Rebirth,en,"Adventure,Action,Science Fiction",Gareth Edwards,2025,2025-07-01,Released,134,false,5. Blockbuster ($150M+),3. 120-150 min,English,English
The Family Plan 2,en,"Action,Comedy",Simon Cellan Jones,2025,2025-11-11,Released,106,false,1. Micro (<$1M),2. 90-120 min,English,English
Reservoir Dogs,en,"Thriller,Crime",Quentin Tarantino,1992,1992-09-02,Released,99,false,2. Low ($1-15M),2. 90-120 min,English,English
Twister,en,"Adventure,Drama,Action",Jan de Bont,1996,1996-05-10,Released,113,false,4. High ($75-150M),2. 90-120 min,English,English
Morning Glory,en,"Drama,Comedy,Romance",Roger Michell,2010,2010-11-10,Released,107,false,3. Mid ($15-75M),2. 90-120 min,English,English
