genre_name,release_year,original_language,director_name,budget_tier,runtime_bucket
Drama,2021,en,Sia,3. Mid ($15-75M),2. 90-120 min
Documentary,2007,fi,Kiti Luostarinen,1. Micro (<$1M),1. Under 90 min
Comedy,2024,it,Ferzan Özpetek,1. Micro (<$1M),3. 120-150 min
Comedy,2015,en,Sean Anders,3. Mid ($15-75M),2. 90-120 min
Family,2025,it,Pier Paolo Paganelli,1. Micro (<$1M),2. 90-120 min
Fantasy,2025,es,Mar Olid,1. Micro (<$1M),2. 90-120 min
Romance,2002,en,Andy Tennant,3. Mid ($15-75M),2. 90-120 min
Action,2006,es,Agustín Díaz Yanes,3. Mid ($15-75M),3. 120-150 min
Family,2012,en,Genndy Tartakovsky,4. High ($75-150M),2. 90-120 min
Family,2020,en,Mark Linfield,1. Micro (<$1M),1. Under 90 min
Comedy,1960,en,Billy Wilder,2. Low ($1-15M),3. 120-150 min
Action,2001,en,Antoine Fuqua,3. Mid ($15-75M),3. 120-150 min
Comedy,2009,en,Peter Billingsley,3. Mid ($15-75M),2. 90-120 min
Horror,1934,en,Dwain Esper,1. Micro (<$1M),1. Under 90 min
Romance,1974,fr,Just Jaeckin,1. Micro (<$1M),2. 90-120 min
Horror,2003,en,Chris Watson,1. Micro (<$1M),1. Under 90 min
Drama,1985,en,George T. Miller,1. Micro (<$1M),2. 90-120 min
Comedy,1982,sv,Hans Iveberg,1. Micro (<$1M),2. 90-120 min
Drama,2011,en,Timothy Andrew Ramos,1. Micro (<$1M),2. 90-120 min
Drama,2016,en,Michael Jai White,1. Micro (<$1M),2. 90-120 min
Drama,2017,el,Jamieson Pearce,1. Micro (<$1M),1. Under 90 min
Drama,2021,en,Benjamin Cleary,1. Micro (<$1M),2. 90-120 min
Comedy,1979,sv,Håkan Wennberg,1. Micro (<$1M),3. 120-150 min
Action,2025,en,Gerard Johnstone,3. Mid ($15-75M),3. 120-150 min
Drama,2026,ko,Chang Hang-jun,1. Micro (<$1M),2. 90-120 min
Drama,2024,ja,Tatsuro Nishikawa,1. Micro (<$1M),3. 120-150 min
Comedy,1993,en,Jon Turteltaub,2. Low ($1-15M),2. 90-120 min
Science Fiction,2008,en,Jon Favreau,4. High ($75-150M),3. 120-150 min
Action,2005,en,John Singleton,3. Mid ($15-75M),2. 90-120 min
Drama,2009,en,Francis Ford Coppola,3. Mid ($15-75M),3. 120-150 min
Action,2008,en,Nick Vallelonga,2. Low ($1-15M),2. 90-120 min
Animation,2002,ja,Katsuhito Akiyama,1. Micro (<$1M),2. 90-120 min
Comedy,1992,en,Brian Levant,1. Micro (<$1M),1. Under 90 min
Action,1973,en,Cirio H. Santiago,1. Micro (<$1M),1. Under 90 min
Comedy,2014,en,Michael Tiddes,2. Low ($1-15M),1. Under 90 min
Horror,1987,en,Nick Millard,1. Micro (<$1M),1. Under 90 min
Romance,1997,nl,Eddy Terstall,1. Micro (<$1M),2. 90-120 min
Drama,2018,en,George Tillman Jr.,3. Mid ($15-75M),3. 120-150 min
Family,2024,en,John Krasinski,4. High ($75-150M),2. 90-120 min
Drama,2024,es,Alfonso Cortés-Cavanillas,1. Micro (<$1M),2. 90-120 min
Drama,2025,tl,Antoinette Jadaone,1. Micro (<$1M),2. 90-120 min
Crime,2025,es,Miguel Gastelum,1. Micro (<$1M),1. Under 90 min
Drama,1987,en,Emile Ardolino,2. Low ($1-15M),2. 90-120 min
Action,1992,ja,Takao Okawara,1. Micro (<$1M),2. 90-120 min
Drama,2001,en,Rob Spera,2. Low ($1-15M),1. Under 90 min
Science Fiction,2012,en,Josh Trank,3. Mid ($15-75M),1. Under 90 min
Drama,2010,ja,Daisuke Namikawa,1. Micro (<$1M),1. Under 90 min
Drama,2015,de,Paul von Woringen,1. Micro (<$1M),1. Under 90 min
Documentary,2025,ga,Garry Keane,1. Micro (<$1M),2. 90-120 min
Mystery,2003,ko,Park Chan-wook,2. Low ($1-15M),3. 120-150 min
Animation,2008,ja,Hayao Miyazaki,3. Mid ($15-75M),2. 90-120 min
Animation,2004,en,Will Finn,4. High ($75-150M),1. Under 90 min
Comedy,1986,en,Michael Dinner,2. Low ($1-15M),2. 90-120 min
Science Fiction,2010,ja,Kazuyoshi Katayama,1. Micro (<$1M),2. 90-120 min
Adventure,2015,en,David Koepp,3. Mid ($15-75M),2. 90-120 min
Drama,2012,ku,Karzan Kader,2. Low ($1-15M),2. 90-120 min
Documentary,2018,en,V. Scott Balcerek,1. Micro (<$1M),1. Under 90 min
Thriller,2023,en,Patrick Wilson,3. Mid ($15-75M),2. 90-120 min
Crime,2025,ko,Park Chan-wook,2. Low ($1-15M),3. 120-150 min
Drama,2023,en,Castille Landon,2. Low ($1-15M),2. 90-120 min
Thriller,2024,da,Ole Christian Madsen,2. Low ($1-15M),3. 120-150 min
Drama,2024,ko,Jerome Yoo,1. Micro (<$1M),2. 90-120 min
History,1977,en,Richard Attenborough,3. Mid ($15-75M),4. 150-180 min
Animation,2009,en,Betty Thomas,4. High ($75-150M),1. Under 90 min
Drama,2009,en,Jeff F. King,2. Low ($1-15M),2. 90-120 min
Comedy,2004,ko,Kwon Jong-kwan,1. Micro (<$1M),2. 90-120 min
Documentary,2011,en,Tom Shadyac,1. Micro (<$1M),1. Under 90 min
Comedy,1997,en,Andrew Gallerani,1. Micro (<$1M),2. 90-120 min
Drama,2008,ja,Rokurō Mochizuki,1. Micro (<$1M),2. 90-120 min
Fantasy,2020,en,Niki Caro,5. Blockbuster ($150M+),2. 90-120 min
Horror,2018,es,Demián Rugna,1. Micro (<$1M),1. Under 90 min
Horror,2023,en,Danny Philippou,2. Low ($1-15M),2. 90-120 min
Drama,1982,en,Anwar Kawadri,1. Micro (<$1M),2. 90-120 min
Drama,1959,hi,Shantaram Rajaram Vankudre,1. Micro (<$1M),4. 150-180 min
History,2016,en,Mel Gibson,3. Mid ($15-75M),3. 120-150 min
Drama,2012,en,George Nichols,1. Micro (<$1M),1. Under 90 min
Adventure,2016,no,Henrik Martin Dahlsbakken,1. Micro (<$1M),1. Under 90 min
Drama,1979,sv,Kjell Grede,1. Micro (<$1M),2. 90-120 min
Romance,2019,en,Nzingha Stewart,1. Micro (<$1M),2. 90-120 min
Drama,2025,es,Rodrigo García Sáiz,1. Micro (<$1M),2. 90-120 min
Comedy,2019,lv,Monika Ivonne,1. Micro (<$1M),1. Under 90 min
Drama,1993,fr,Krzysztof Kieślowski,1. Micro (<$1M),2. 90-120 min
Thriller,1996,en,Gregory Hoblit,3. Mid ($15-75M),3. 120-150 min
Action,1990,en,Rich Correll,1. Micro (<$1M),2. 90-120 min
Crime,2010,en,George Tillman Jr.,3. Mid ($15-75M),2. 90-120 min
Drama,2005,en,Nicole Bettauer,1. Micro (<$1M),2. 90-120 min
Drama,1957,en,Gerd Oswald,1. Micro (<$1M),1. Under 90 min
Drama,1991,en,Véra Belmont,1. Micro (<$1M),3. 120-150 min
Thriller,2020,en,John Hyams,1. Micro (<$1M),2. 90-120 min
Drama,2000,it,Marco Bellocchio,1. Micro (<$1M),1. Under 90 min
Crime,2025,id,Muhadkly Acho,1. Micro (<$1M),2. 90-120 min
Romance,2025,tr,Engin Erden,1. Micro (<$1M),2. 90-120 min
Mystery,2017,en,Yorgos Lanthimos,2. Low ($1-15M),3. 120-150 min
Mystery,2023,en,Will Merrick,2. Low ($1-15M),2. 90-120 min
Action,2025,zh,Gu Jie,1. Micro (<$1M),2. 90-120 min
Drama,2024,it,Maura Delpero,1. Micro (<$1M),2. 90-120 min
Drama,2024,cs,Dan Svátek,1. Micro (<$1M),2. 90-120 min
Drama,1938,en,King Vidor,1. Micro (<$1M),2. 90-120 min
Drama,1968,ja,Teruo Ishii,1. Micro (<$1M),2. 90-120 min
Adventure,2013,en,Reinhard Klooss,1. Micro (<$1M),2. 90-120 min
Drama,2014,de,Edward Berger,1. Micro (<$1M),2. 90-120 min
Drama,2005,en,Woquini Adams,1. Micro (<$1M),2. 90-120 min
Family,2020,en,Dan Scanlon,5. Blockbuster ($150M+),2. 90-120 min
Drama,1962,cs,Čeněk Duba,1. Micro (<$1M),1. Under 90 min
Thriller,2018,id,Myrna Paramita Pohan,1. Micro (<$1M),1. Under 90 min
Crime,2024,en,Max Barbakow,1. Micro (<$1M),1. Under 90 min
Animation,2023,es,Juan Jesús García Galocha,2. Low ($1-15M),1. Under 90 min
Comedy,2005,en,Rob McKittrick,2. Low ($1-15M),2. 90-120 min
Western,1976,en,Clint Eastwood,2. Low ($1-15M),3. 120-150 min
Adventure,2010,en,Ridley Scott,5. Blockbuster ($150M+),3. 120-150 min
Horror,1990,en,Dominique Othenin-Girard,1. Micro (<$1M),2. 90-120 min
Thriller,1989,en,Lang Elliott,1. Micro (<$1M),2. 90-120 min
Adventure,2016,en,Greg Tiernan,3. Mid ($15-75M),1. Under 90 min
Western,2014,en,Michael Berry,1. Micro (<$1M),2. 90-120 min
Western,2019,en,Justin Lee,1. Micro (<$1M),2. 90-120 min
Adventure,2025,en,Gareth Edwards,5. Blockbuster ($150M+),3. 120-150 min
Action,2025,en,Simon Cellan Jones,1. Micro (<$1M),2. 90-120 min
Crime,1992,en,Quentin Tarantino,2. Low ($1-15M),2. 90-120 min
Adventure,1996,en,Jan de Bont,4. High ($75-150M),2. 90-120 min
Drama,2010,en,Roger Michell,3. Mid ($15-75M),2. 90-120 min
Romance,2001,en,Russell DeGrazier,1. Micro (<$1M),2. 90-120 min
Drama,2010,en,Cam Archer,1. Micro (<$1M),2. 90-120 min
Drama,1962,sv,Gunnar Hellström,1. Micro (<$1M),1. Under 90 min
Horror,2016,en,Cody Calahan,1. Micro (<$1M),1. Under 90 min
Comedy,2016,en,Milos Mitrovic,1. Micro (<$1M),1. Under 90 min
Drama,2026,en,John Patton Ford,1. Micro (<$1M),2. 90-120 min
Family,2007,en,Tim Hill,3. Mid ($15-75M),2. 90-120 min
History,1979,it,Tinto Brass,3. Mid ($15-75M),4. 150-180 min
Drama,2000,it,Giuseppe Tornatore,1. Micro (<$1M),2. 90-120 min
Drama,2011,en,Anne Wheeler,2. Low ($1-15M),2. 90-120 min
Drama,2007,nl,Jos Stelling,1. Micro (<$1M),2. 90-120 min
War,2015,pl,Krzysztof Łukaszewicz,2. Low ($1-15M),2. 90-120 min
Crime,2018,en,Idris Elba,1. Micro (<$1M),2. 90-120 min
Drama,2014,en,Tiffany Johnson,1. Micro (<$1M),1. Under 90 min
Romance,2018,sk,Andrea Sedláčková,1. Micro (<$1M),2. 90-120 min
Music,2020,en,Justin Baldoni,1. Micro (<$1M),3. 120-150 min
Music,1993,en,Derek Jarman,1. Micro (<$1M),1. Under 90 min
Crime,2025,en,Marty Murray,2. Low ($1-15M),1. Under 90 min
Thriller,1979,en,George Miller,1. Micro (<$1M),2. 90-120 min
Animation,2005,en,Cory Edwards,2. Low ($1-15M),1. Under 90 min
Action,2013,hi,Rohit Shetty,3. Mid ($15-75M),3. 120-150 min
Science Fiction,2018,en,Wes Ball,3. Mid ($15-75M),3. 120-150 min
Drama,2019,de,Sabrina Sarabi,1. Micro (<$1M),2. 90-120 min
Drama,1956,hi,M. Sadiq,1. Micro (<$1M),3. 120-150 min
Romance,2024,es,Marçal Forés,1. Micro (<$1M),2. 90-120 min
Horror,"",en,Bishal Dutta,1. Micro (<$1M),1. Under 90 min
Fantasy,2003,en,Tim Burton,3. Mid ($15-75M),3. 120-150 min
Romance,1985,en,Franc Roddam,2. Low ($1-15M),2. 90-120 min
Animation,1986,ja,Yuzo Yamada,1. Micro (<$1M),1. Under 90 min
Horror,2023,ja,Seiji Chiba,1. Micro (<$1M),1. Under 90 min
Drama,2001,en,Pat O'Connor,3. Mid ($15-75M),2. 90-120 min
Science Fiction,1994,en,Roland Emmerich,3. Mid ($15-75M),3. 120-150 min
Comedy,1996,en,Francis Ford Coppola,3. Mid ($15-75M),2. 90-120 min
Horror,1992,en,Fred Olen Ray,1. Micro (<$1M),1. Under 90 min
Comedy,1941,en,John M. Stahl,1. Micro (<$1M),2. 90-120 min
Drama,1976,de,Peter Patzak,1. Micro (<$1M),2. 90-120 min
Comedy,2020,tr,Zeynep Çamcı,1. Micro (<$1M),2. 90-120 min
Comedy,2022,en,Stacey N. Harding,1. Micro (<$1M),1. Under 90 min
Thriller,2023,es,Domingo González,1. Micro (<$1M),2. 90-120 min
Horror,2025,id,Kimo Stamboel,1. Micro (<$1M),2. 90-120 min
Drama,1984,en,Miloš Forman,3. Mid ($15-75M),4. 150-180 min
Horror,1987,es,Bigas Luna,1. Micro (<$1M),1. Under 90 min
Comedy,1959,it,Steno,1. Micro (<$1M),2. 90-120 min
Comedy,1991,it,Maurizio Nichetti,1. Micro (<$1M),2. 90-120 min
Comedy,2011,fr,Michel Hazanavicius,3. Mid ($15-75M),2. 90-120 min
Adventure,2014,en,James Gunn,5. Blockbuster ($150M+),3. 120-150 min
Drama,2011,en,Aaron Douglas Johnston,1. Micro (<$1M),1. Under 90 min
Adventure,2015,en,Wes Ball,3. Mid ($15-75M),3. 120-150 min
History,2022,en,Maria Schrader,3. Mid ($15-75M),3. 120-150 min
Crime,2025,pl,Cyprian T. Olencki,1. Micro (<$1M),4. 150-180 min
Drama,2024,ja,Shunsuke Ishikawa,1. Micro (<$1M),2. 90-120 min
Family,1993,en,Chris Columbus,3. Mid ($15-75M),3. 120-150 min
Science Fiction,1999,en,John Putch,1. Micro (<$1M),2. 90-120 min
TV Movie,1996,en,Geoffrey Sax,2. Low ($1-15M),1. Under 90 min
Horror,2009,en,Declan O'Brien,2. Low ($1-15M),2. 90-120 min
Animation,2020,fr,Maya Merigeau,1. Micro (<$1M),1. Under 90 min
Comedy,1945,es,Luis Mottura,1. Micro (<$1M),1. Under 90 min
Drama,2023,ja,Wim Wenders,2. Low ($1-15M),3. 120-150 min
Mystery,2025,en,David F. Sandberg,3. Mid ($15-75M),2. 90-120 min
Comedy,1997,en,Woody Allen,3. Mid ($15-75M),2. 90-120 min
Drama,2006,en,Neil Armfield,1. Micro (<$1M),2. 90-120 min
Crime,2005,en,Tony Giglio,3. Mid ($15-75M),2. 90-120 min
Action,1996,en,Renny Harlin,3. Mid ($15-75M),3. 120-150 min
Crime,2008,en,John Madden,1. Micro (<$1M),2. 90-120 min
Thriller,2010,en,Sylvain White,3. Mid ($15-75M),2. 90-120 min
Thriller,2011,en,James Wan,2. Low ($1-15M),2. 90-120 min
Thriller,2016,en,Nicolas Winding Refn,2. Low ($1-15M),2. 90-120 min
Family,2017,nl,Mischa Kamp,1. Micro (<$1M),2. 90-120 min
Comedy,2024,en,Dougal Wilson,4. High ($75-150M),2. 90-120 min
Romance,1968,tr,Ülkü Erakalın,1. Micro (<$1M),1. Under 90 min
Documentary,2022,en,Marq Evans,1. Micro (<$1M),2. 90-120 min
Drama,"",en,Ken Kwapis,1. Micro (<$1M),1. Under 90 min
Thriller,2024,ko,Kim Sung-han,1. Micro (<$1M),2. 90-120 min
Science Fiction,1983,en,Richard Marquand,3. Mid ($15-75M),3. 120-150 min
Horror,2006,en,James Wong,3. Mid ($15-75M),2. 90-120 min
Adventure,1986,en,Jim Henson,3. Mid ($15-75M),2. 90-120 min
Thriller,2012,en,James Watkins,3. Mid ($15-75M),2. 90-120 min
Crime,2002,en,Steve Grasse,1. Micro (<$1M),1. Under 90 min
Comedy,1931,en,A. Edward Sutherland,1. Micro (<$1M),1. Under 90 min
Drama,2001,en,Asghar Massombagi,1. Micro (<$1M),1. Under 90 min
Comedy,2012,de,Stefan Krohmer,1. Micro (<$1M),1. Under 90 min
Horror,2013,id,Nayato Fio Nuala,1. Micro (<$1M),1. Under 90 min
Thriller,2023,en,Ivan Sen,1. Micro (<$1M),2. 90-120 min
Romance,2025,es,Cesc Gay,1. Micro (<$1M),2. 90-120 min
Thriller,2006,en,Tony Scott,4. High ($75-150M),3. 120-150 min
Drama,2012,en,Rohit Colin Rao,1. Micro (<$1M),2. 90-120 min
Drama,2014,es,Damián Szifron,2. Low ($1-15M),3. 120-150 min
Crime,1999,en,David Heavener,1. Micro (<$1M),1. Under 90 min
Adventure,2024,en,Ridley Scott,5. Blockbuster ($150M+),3. 120-150 min
Crime,2020,en,Jon García,1. Micro (<$1M),2. 90-120 min
Crime,2025,en,Randall Emmett,1. Micro (<$1M),2. 90-120 min
Documentary,1945,da,Alice O'Fredericks,1. Micro (<$1M),1. Under 90 min
Fantasy,2004,en,Alfonso Cuarón,4. High ($75-150M),3. 120-150 min
Crime,1972,en,John Waters,1. Micro (<$1M),2. 90-120 min
Drama,2007,en,Andrew Dominik,3. Mid ($15-75M),4. 150-180 min
Comedy,2005,en,Judd Apatow,3. Mid ($15-75M),2. 90-120 min
Action,2003,en,F. Gary Gray,3. Mid ($15-75M),2. 90-120 min
Fantasy,1984,en,John Carl Buechler,1. Micro (<$1M),1. Under 90 min
Thriller,2012,en,Peter Berg,5. Blockbuster ($150M+),3. 120-150 min
Fantasy,2013,en,Tommy Wirkola,3. Mid ($15-75M),1. Under 90 min
Adventure,2014,en,Paul W. S. Anderson,4. High ($75-150M),2. 90-120 min
Drama,1996,ta,Vikraman,1. Micro (<$1M),3. 120-150 min
Drama,1987,tr,Orhan Aksoy,1. Micro (<$1M),1. Under 90 min
Drama,2013,pt,Paulo Sacramento,1. Micro (<$1M),1. Under 90 min
Western,2015,en,Alejandro González Iñárritu,4. High ($75-150M),4. 150-180 min
Crime,2021,en,John Lee Hancock,3. Mid ($15-75M),3. 120-150 min
Documentary,2019,en,Bill Gallagher,1. Micro (<$1M),1. Under 90 min
Romance,2024,es,Domingo González,1. Micro (<$1M),2. 90-120 min
Science Fiction,1997,en,Gregg Araki,1. Micro (<$1M),1. Under 90 min
Adventure,1989,en,Buddy Van Horn,3. Mid ($15-75M),3. 120-150 min
Drama,2003,en,Robert Altman,3. Mid ($15-75M),2. 90-120 min
Science Fiction,2011,en,Sheldon Wilson,1. Micro (<$1M),1. Under 90 min
Action,1989,en,J. Christian Ingvordsen,1. Micro (<$1M),2. 90-120 min
Comedy,2014,en,Sean Anders,3. Mid ($15-75M),2. 90-120 min
Thriller,2016,en,Greg McLean,2. Low ($1-15M),1. Under 90 min
Drama,2018,fr,Andréa Bescond,1. Micro (<$1M),2. 90-120 min
Thriller,2021,el,Thanassis Totsikas,1. Micro (<$1M),2. 90-120 min
Adventure,2025,en,Alberto Belli,1. Micro (<$1M),2. 90-120 min
Animation,2006,en,George Miller,4. High ($75-150M),2. 90-120 min
Comedy,1986,en,Willard Huyck,3. Mid ($15-75M),2. 90-120 min
Thriller,2000,en,Bob Giraldi,2. Low ($1-15M),2. 90-120 min
Thriller,1991,en,Frank De Felitta,1. Micro (<$1M),2. 90-120 min
Comedy,1954,en,Izzy Sparber,1. Micro (<$1M),1. Under 90 min
Western,1999,en,Christopher Cain,1. Micro (<$1M),1. Under 90 min
Drama,2023,tl,Mac Alejandre,1. Micro (<$1M),2. 90-120 min
Family,1996,en,Danny DeVito,3. Mid ($15-75M),2. 90-120 min
Romance,1940,en,Garson Kanin,1. Micro (<$1M),1. Under 90 min
Comedy,1967,en,John Hubley,1. Micro (<$1M),1. Under 90 min
Thriller,2017,en,Niels Arden Oplev,3. Mid ($15-75M),2. 90-120 min
TV Movie,1985,en,John Madden,1. Micro (<$1M),2. 90-120 min
Romance,2023,en,Sam H. Freeman,1. Micro (<$1M),2. 90-120 min
Thriller,2025,en,Christopher Landon,2. Low ($1-15M),2. 90-120 min
Mystery,2025,en,Alexander Kiesl,1. Micro (<$1M),2. 90-120 min
Drama,2007,en,Marc Klein,1. Micro (<$1M),2. 90-120 min
Action,1989,en,David O'Malley,1. Micro (<$1M),2. 90-120 min
Comedy,1973,it,Salvatore Samperi,1. Micro (<$1M),2. 90-120 min
Mystery,2011,en,David Moore,1. Micro (<$1M),1. Under 90 min
Romance,2021,no,Joachim Trier,2. Low ($1-15M),3. 120-150 min
Horror,2025,en,Shravan Tiwari,1. Micro (<$1M),2. 90-120 min
Animation,2005,en,Steve Box,3. Mid ($15-75M),1. Under 90 min
Horror,2013,en,James Wan,2. Low ($1-15M),2. 90-120 min
Comedy,1987,en,Rafal Zielinski,1. Micro (<$1M),1. Under 90 min
Fantasy,1994,ja,Shohei Tôjô,1. Micro (<$1M),1. Under 90 min
Mystery,2019,nl,Halina Reijn,1. Micro (<$1M),2. 90-120 min
Thriller,2006,de,Benjamin Eicher,1. Micro (<$1M),1. Under 90 min
Thriller,1999,en,Anthony Minghella,3. Mid ($15-75M),3. 120-150 min
Drama,1999,en,Lasse Hallström,3. Mid ($15-75M),3. 120-150 min
Fantasy,2008,en,Andrew Adamson,5. Blockbuster ($150M+),4. 150-180 min
Adventure,1969,it,Ruggero Deodato,1. Micro (<$1M),2. 90-120 min
Comedy,2001,en,Jay Chandrasekhar,2. Low ($1-15M),2. 90-120 min
Drama,1985,tr,Ömer Kavur,1. Micro (<$1M),2. 90-120 min
Drama,2003,en,Wren Valentino,1. Micro (<$1M),1. Under 90 min
Drama,2019,hi,Prashant Singh,1. Micro (<$1M),3. 120-150 min
Mystery,2025,en,James DeMonaco,1. Micro (<$1M),2. 90-120 min
Thriller,2024,ml,Girish A. D.,1. Micro (<$1M),2. 90-120 min
Crime,2024,en,Doug Liman,1. Micro (<$1M),2. 90-120 min
Science Fiction,2025,en,James Gunn,5. Blockbuster ($150M+),3. 120-150 min
Drama,2024,sv,Sawandi Groskind,1. Micro (<$1M),1. Under 90 min
Horror,2024,te,Prasad Raju Bommidi,1. Micro (<$1M),3. 120-150 min
Documentary,2025,en,Mark Obenhaus,1. Micro (<$1M),2. 90-120 min
Family,1998,en,Betty Thomas,3. Mid ($15-75M),1. Under 90 min
History,2003,en,Eric Till,3. Mid ($15-75M),3. 120-150 min
Horror,2009,en,Christopher Smith,2. Low ($1-15M),2. 90-120 min
Comedy,2012,en,Christopher Neil,2. Low ($1-15M),2. 90-120 min
Fantasy,1994,en,Jud Taylor,1. Micro (<$1M),2. 90-120 min
Music,2012,ja,Tetsuro Amino,1. Micro (<$1M),2. 90-120 min
Drama,2020,en,Harry Macqueen,1. Micro (<$1M),2. 90-120 min
Drama,2020,it,Maurizio Zaccaro,1. Micro (<$1M),2. 90-120 min
Horror,2022,en,Scott Derrickson,3. Mid ($15-75M),2. 90-120 min
Action,2025,en,Joe Carnahan,3. Mid ($15-75M),2. 90-120 min
Drama,2021,de,York-Fabian Raabe,1. Micro (<$1M),2. 90-120 min
Thriller,2021,en,Guillem Lafoz,1. Micro (<$1M),1. Under 90 min
Thriller,2025,en,Jimmy Warden,2. Low ($1-15M),2. 90-120 min
Comedy,1954,hi,J.K. Nanda,1. Micro (<$1M),3. 120-150 min
Comedy,2020,en,Michael Thomas James,1. Micro (<$1M),1. Under 90 min
